id;estado;setor;faturamento_informado;divida_total_pj;score;taxa;atraso_corrente;prazo;valor_contrato;valor_contrato_mais_juros;valor_em_aberto
108212;SP;SERVICOS ADMINISTRATIVOS;13000;825;312;5,0505;0;12,6;7767,6375;9351,72;0
113029;SP;INDUSTRIA DIGITAL;402433;883000;339;3,864;0;12,6;89342,274;103556,52;0
122717;DF;SERVICOS ADMINISTRATIVOS;15000;1000;368;5,4495;1218;12,6;5550,4995;7186,08;7186,08
133170;BA;VAREJO;140000;108000;720;3,9585;0;12,6;55846,0665;65355,48;0
156692;SE;SERVICOS DE EDUCACAO;186900;370000;218;4,5465;0;5,25;21604,086;23070,3;0
953;SP;VAREJO;20000;11000;445;4,9035;0;12,6;16646,0385;20024,28;0
3158;SP;VAREJO;110000;0;376;4,2945;0;6,3;16227,8655;17282,76;0
3218;SP;SERVICOS DE SAUDE;12000;0;484;5,628;0;12,6;8877,9075;11120,52;0
13617;RJ;VAREJO;80000;0;521;4,8825;0;4,2;21490,98;22336,8;0
29413;SP;VAREJO;30000;63000;527;4,704;0;12,6;5549,523;6717,96;0
42753;SP;SERVICOS PROFISSIONAIS E TECNICOS;280000;92000;127;4,032;1354;12,6;55847,6205;65743,08;60111,21
45520;SP;SERVICOS DIVERSOS;25000;3000;443;5,1135;0;12,6;5548,788;6771;0
50846;ES;VAREJO;220000;473000;404;3,738;0;12,6;33293,883;37723,92;0
53198;TO;VAREJO;50000;0;396;5,0925;0;12,6;5548,7775;6762;0
57708;RJ;SERVICOS DIVERSOS;33000;0;543;4,8195;0;12,6;16650,6165;20586,48;0
79892;GO;SERVICOS DIVERSOS;82000;46000;354;4,809;1017;12,6;61418,343;75349,68;32117,99
83365;BA;INDUSTRIA DA CONSTRUCAO;100000;0;304;4,494;556;6,3;16284,513;17823,18;17323,18
91477;BA;VAREJO;20000;0;125;5,544;1123;6,3;5425,518;6050,82;986,5
129598;SP;INDUSTRIA DIGITAL;208330;1604000;657;4,0005;0;18,9;114675,498;145156,32;0
131358;TO;SERVICOS PROFISSIONAIS E TECNICOS;10000;0;330;5,838;0;12,6;5547,8325;6886,8;0
149507;AM;SERVICOS DE ALOJAMENTO/ALIMENTACAO;95000;94000;181;5,2815;1079;12,6;44623,593;54030,48;35915,3
167985;RS;SERVICOS PROFISSIONAIS E TECNICOS;35000;29000;292;5,838;1179;12,6;11157,0165;13975,44;13975,44
172948;SP;INDUSTRIA DA CONSTRUCAO;80000;53000;135;5,292;0;12,6;11156,5545;13543,2;0
3667;SP;VAREJO;200000;340000;489;4,326;0;9,45;55010,823;61097,04;0
4642;MT;ATACADO;1000000;567280;0;3,9585;0;6,3;32573,961;35102,16;0
18715;SP;VAREJO;90000;36000;462;4,641;0;12,6;44663,094;54019,08;0
41912;SP;VAREJO;25000;10000;396;5,0715;0;6,3;10816,2285;11786,58;0
75113;SP;VAREJO;80000;104000;299;4,9455;0;12,6;11100,1275;13796,64;0
115552;SP;VAREJO;40000;5000;428;5,3025;0;9,45;33030,6585;39373,56;0
132700;SP;SERVICOS PROFISSIONAIS E TECNICOS;20000;3000;307;5,376;0;6,3;5408,9595;6062,58;0
141546;SP;VAREJO;80000;4000;258;5,1975;0;10,5;16591,1025;19937,7;0
146614;BA;VAREJO;30000;9000;302;4,641;1119;6,3;5423,985;5814,72;5147,92
162107;RJ;INDUSTRIA DA CONSTRUCAO;25000;0;413;5,3235;1190;12,6;8878,149;10976,64;10976,64
166221;PR;TRANSPORTE;150000;0;318;4,746;0;6,3;10816,6275;11715,18;0
167967;MT;ATACADO;100000;0;247;5,292;0;8,4;10950,6705;12455,28;0
4362;PE;BENS DE CONSUMO;45000;2000;467;4,389;0;12,6;5579,8785;6520,68;0
7103;BA;VAREJO;140000;232000;880;3,549;0;12,6;33301,4535;38045,64;0
16110;PE;VAREJO;250000;512000;283;3,99;1487;9,45;32877,2745;37041,84;37041,84
19170;RJ;SERVICOS ADMINISTRATIVOS;400000;52000;632;4,347;0;12,6;44634,219;51829,2;0
58647;MG;SERVICOS DE ALOJAMENTO/ALIMENTACAO;70000;221;292;4,557;1156;9,45;10955,9205;12338,1;2180,54
58904;RN;SERVICOS DE ALOJAMENTO/ALIMENTACAO;180000;449;194;4,2105;1261;8,4;32886,021;36975,28;22860,13
102986;SP;VAREJO;60000;2000;265;5,0085;1207;12,6;16646,8995;20273,04;16860,41
125932;MG;VAREJO;18000;306;152;6,657;1213;12,6;8934,324;12303,84;12303,84
131285;DF;ATACADO;800000;1085000;110;3,927;0;12,6;89283,2535;101793,6;21077,33
144946;SP;INDUSTRIA DA CONSTRUCAO;180000;26000;385;4,2315;1036;8,4;43837,5735;48982,64;18186,2
150666;RN;QUIMICA-PETROQUIMICA;22000;0;415;4,998;0;12,6;6658,7745;8109,24;0
161919;SP;VAREJO;30000;15000;309;5,103;0;6,3;5426,757;6015,84;0
1319;PE;VAREJO;220000;190000;294;4,7775;0;12,6;15536,3985;18580,56;0
3744;RJ;VAREJO;21000;0;538;4,5675;0;12,6;27743,5305;32792,28;0
4695;MS;VAREJO;90000;18343;351;4,515;1568;12,6;22200,4125;26881,44;22401,2
5231;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;30000;19870;741;4,5885;0;12,6;16646,007;19675,2;0
11490;SP;INDUSTRIA DA CONSTRUCAO;33000;5000;726;5,0085;0;3,15;2140,929;2262,45;0
15371;SP;SERVICOS ADMINISTRATIVOS;54000;8000;354;4,557;0;6,3;5426,673;5898,84;0
18013;BA;VAREJO;180000;314000;107;5,8695;378;12,6;11154,045;13831,56;4230,14
22540;BA;ATACADO;45000;20000;213;5,145;1280;12,6;5548,8195;6789;2828,75
29512;BA;VAREJO;95000;475000;327;4,6095;0;12,6;22194,9735;26295,72;0
46928;RJ;TELECOM;120000;37000;291;4,011;0;12,6;44653,98;51619,8;0
58027;SP;VAREJO;20000;19000;622;5,3235;0;12,6;5548,6725;6831,48;0
64079;MG;BENS DE CONSUMO;35000;12000;474;4,179;0;12,6;11100,0855;13149,84;0
76757;SP;PAPEL E CELULOSE;120000;94000;658;4,368;0;15,75;79177,728;96056,1;0
98033;SP;SERVICOS ADMINISTRATIVOS;150000;100000;320;4,83;0;9,45;27394,71;31832,28;0
118713;SP;SERVICOS DIVERSOS;40000;0;234;5,5335;0;12,6;16744,0875;21120;0
127443;BA;VAREJO;200000;221000;391;3,549;0;6,3;21637,1295;22864,44;0
130025;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;30000;0;437;5,7225;0;9,45;10956,771;13111,74;0
135021;CE;SIDERURGICA-METALURGIA;100000;0;277;4,8195;0;5,25;10773,252;11815,75;0
174132;RJ;SERVICOS DIVERSOS;50000;17000;349;5,061;0;12,6;16645,4295;20115,48;0
176393;MG;SERVICOS PROFISSIONAIS E TECNICOS;58000;122000;476;4,389;0;12,6;16645,9125;19444,2;0
1294;SP;BENS DE CONSUMO;8000;0;330;5,418;1732;12,6;5548,704;6871,08;6282
4864;SP;ATACADO;3000000;0;793;3,5175;0;6,3;54257,007;56595,84;0
25950;MT;SERVICOS DE ALOJAMENTO/ALIMENTACAO;28000;8000;159;6,1425;0;12,6;5549,481;7294,44;0
45045;PE;SERVICOS PROFISSIONAIS E TECNICOS;15000;0;421;5,1975;0;12,6;5548,725;6792,24;0
47418;SP;INDUSTRIA DA CONSTRUCAO;150000;24000;171;5,859;0;6,3;10817,1525;12210,6;2547,78
59706;BA;VAREJO;40000;0;231;5,2395;0;12,6;11100,264;14067,48;0
69916;MG;VAREJO;20000;0;496;5,5965;0;12,6;5549,208;7023,84;0
77486;GO;INDUSTRIA DIGITAL;300000;83000;316;3,843;1177;6,3;21639,3135;23318,82;7612,32
84825;SP;VAREJO;18000;12000;518;5,2395;0;12,6;5549,208;6885,48;0
102717;SP;VAREJO;10000;0;420;5,355;0;6,3;8112,2055;8926,5;0
106496;SP;SERVICOS DIVERSOS;40000;11000;610;5,25;0;12,6;5548,452;6774,12;0
133503;PR;ATACADO;190000;243000;142;5,6385;1203;6,3;10853,0415;12235,86;12235,86
909;PA;SERVICOS ADMINISTRATIVOS;50000;67000;322;4,5885;0;12,6;33292,0035;39350,4;0
5443;MG;VAREJO;60000;0;456;4,284;1366;12,6;44668,0395;53026,68;17675,56
7595;SP;VAREJO;30000;0;475;4,3995;0;12,6;16645,566;19423,08;0
17445;TO;VAREJO;52000;7000;180;6,3525;0;12,6;8321,187;10485,72;0
28512;PE;ATACADO;90000;0;570;4,0635;0;12,6;39088,4655;45925,08;0
32338;AM;VAREJO;150000;10000;135;5,7435;829;12,6;22202,25;29317,32;17381,1
41834;SP;SERVICOS PROFISSIONAIS E TECNICOS;40000;15000;468;4,8405;0;6,3;5424,993;5890,08;0
83746;SP;INDUSTRIA DIGITAL;30000;99000;722;4,7355;0;12,6;16649,1045;20278,68;0
160362;RJ;SERVICOS PROFISSIONAIS E TECNICOS;190000;332000;515;4,011;0;15,75;113155,2345;136145,55;0
162618;SP;VAREJO;180000;58000;172;4,725;0;10,5;33007,359;37926,4;0
163491;RJ;SERVICOS ADMINISTRATIVOS;138000;128000;132;4,095;1151;6,3;16225,398;17254,74;14270,47
174417;RJ;SERVICOS DE EDUCACAO;42199,3;7000;320;5,334;189;12,6;22194,543;27325,92;0
8056;SP;VAREJO;100000;23686;494;4,7985;0;12,6;22194,5955;26543,28;0
17267;GO;BENS DE CONSUMO;30000;6000;403;5,124;0;12,6;5548,641;6752,88;0
20358;MG;SERVICOS ADMINISTRATIVOS;90000;4000;155;4,095;0;12,6;39068,589;45231,48;0
29625;SP;VAREJO;50000;19000;463;4,62;0;18,9;22760,388;29557,62;0
